
Type,Product,Started Date,Date sold,Date acquired,Description,Amount,Fee,Currency,State,Balance,Cost basis,Gross PnL,Quantity,Security name
SELL,Stocks,2023-01-15,2023-01-15,2022-11-01,Amazon.com Inc.,980.00,0.00,USD,COMPLETED,0.00,1200.00,-220.00,10.00,Amazon.com Inc.
SELL,Stocks,2023-02-15,2023-02-15,2022-12-10,Tesla Inc.,2140.00,0.00,USD,COMPLETED,0.00,1500.00,640.00,9.99,Tesla Inc.
SELL,Stocks,2023-02-20,2023-02-20,2022-11-15,Microsoft Corp.,2500.00,0.00,USD,COMPLETED,0.00,2700.00,-200.00,9.68,Microsoft Corp.
SELL,Stocks,2023-03-15,2023-03-15,2023-01-10,Apple Inc.,1530.00,0.00,USD,COMPLETED,0.00,1300.00,230.00,10.00,Apple Inc.
SELL,Stocks,2023-03-20,2023-03-20,2023-01-05,Nvidia Corp.,2600.00,0.00,USD,COMPLETED,0.00,1400.00,1200.00,10.06,Nvidia Corp.
SELL,Stocks,2023-04-15,2023-04-15,2023-03-10,Amazon.com Inc.,1050.00,0.00,USD,COMPLETED,0.00,900.00,150.00,10.24,Amazon.com Inc.
SELL,Stocks,2023-05-15,2023-05-15,2023-04-01,Tesla Inc.,1660.00,0.00,USD,COMPLETED,0.00,2000.00,-340.00,9.97,Tesla Inc.
SELL,Stocks,2023-05-20,2023-05-20,2023-03-01,Microsoft Corp.,3100.00,0.00,USD,COMPLETED,0.00,2500.00,600.00,9.96,Microsoft Corp.
SELL,Stocks,2023-06-15,2023-06-15,2023-05-10,Apple Inc.,1860.00,0.00,USD,COMPLETED,0.00,1730.00,130.00,10.00,Apple Inc.
SELL,Stocks,2023-06-20,2023-06-20,2023-04-15,Nvidia Corp.,4000.00,0.00,USD,COMPLETED,0.00,2700.00,1300.00,9.98,Nvidia Corp.
SELL,Stocks,2023-07-15,2023-07-15,2023-05-20,Amazon.com Inc.,1330.00,0.00,USD,COMPLETED,0.00,1100.00,230.00,9.97,Amazon.com Inc.
SELL,Stocks,2023-08-15,2023-08-15,2023-07-18,Tesla Inc.,2300.00,0.00,USD,COMPLETED,0.00,2900.00,-600.00,9.87,Tesla Inc.
SELL,Stocks,2023-08-20,2023-08-20,2023-07-01,Microsoft Corp.,3200.00,0.00,USD,COMPLETED,0.00,3500.00,-300.00,10.13,Microsoft Corp.
SELL,Stocks,2023-09-15,2023-09-15,2023-08-01,Apple Inc.,1750.00,0.00,USD,COMPLETED,0.00,1950.00,-200.00,10.00,Apple Inc.
SELL,Stocks,2023-09-20,2023-09-20,2023-08-15,Nvidia Corp.,4300.00,0.00,USD,COMPLETED,0.00,4600.00,-300.00,10.02,Nvidia Corp.
SELL,Stocks,2023-10-15,2023-10-15,2023-09-10,Amazon.com Inc.,1300.00,0.00,USD,COMPLETED,0.00,1400.00,-100.00,10.05,Amazon.com Inc.
SELL,Stocks,2023-11-15,2023-11-15,2023-10-30,Tesla Inc.,2420.00,0.00,USD,COMPLETED,0.00,1970.00,450.00,10.04,Tesla Inc.
SELL,Stocks,2023-11-20,2023-11-20,2023-09-15,Microsoft Corp.,3700.00,0.00,USD,COMPLETED,0.00,3150.00,550.00,9.97,Microsoft Corp.
SELL,Stocks,2023-12-15,2023-12-15,2023-10-26,Apple Inc.,1975.00,0.00,USD,COMPLETED,0.00,1660.00,315.00,10.00,Apple Inc.
SELL,Stocks,2023-12-20,2023-12-20,2023-10-01,Nvidia Corp.,4800.00,0.00,USD,COMPLETED,0.00,4000.00,800.00,9.88,Nvidia Corp.
